-0.9197,-0.124,-0.3723,0.295,0.4072,-0.8643,0.2588,-0.9048,-0.3379,282.67,65.364,-21.597
-0.9487,0.1262,-0.2896,229.0239,0.316,0.3759,-0.871,53.4699,-0.0011,-0.9179,-0.3965,34.8663
-0.9962,-0.0546,0.067,-0.0834,0.4077,-0.9092,0.0223,-0.9114,-0.4107,192.41,53.712,-18.946
-0.9704,0.1907,0.1479,134.1445,-0.0715,0.3577,-0.931,47.0582,-0.2305,-0.914,-0.3335,34.1037
-0.8715,-0.1364,0.4711,-0.4893,0.1769,-0.854,0.0331,-0.9747,-0.2209,93.921,84.281,-57.282
-0.8553,0.0262,0.5174,49.9401,-0.5068,0.1647,-0.8462,86.1791,-0.1074,-0.986,-0.1276,-31.6787
-0.6443,0.4946,-0.5832,0.7567,0.5226,-0.3926,0.1106,-0.6943,-0.711,133.72,184.43,-42.713
-0.634,0.6705,-0.3851,93.4414,0.7684,0.4909,-0.4104,173.6058,-0.0862,-0.5562,-0.8265,-28.3289
-0.8412,0.4362,-0.3196,0.5189,0.4852,-0.7037,-0.1519,-0.7578,-0.6345,30.843,221.55,-74.617
-0.7613,0.6275,-0.1633,-3.6329,0.5187,0.4383,-0.734,213.2952,-0.389,-0.6436,-0.6591,-69.6038
-0.9382,0.3456,-0.0148,0.1493,0.3661,-0.9184,-0.312,-0.864,-0.395,-13.535,309.78,-125.0
-0.875,0.479,0.069,-48.8005,0.127,0.3648,-0.9222,308.7575,-0.467,-0.7983,-0.3801,-119.378
